variable,ideal_value,ideal_min,ideal_max,unit,method,source,scope
soil_available_p_04009,450.0,400.0,500.0,mg/kg,"Lancaster법. 국내 표준(national-agri-environment-monitoring-2020.md). 종전 _shared.json이 경고하던 'Bray-1 30~50 mg/kg과 약 6배 갈림'은 그 Bray 수치 자체가 원문에 없는 창작값으로 확인돼 해소됐다(kfia-inorganic-fertilizer-guide-2022.md, 322쪽 중 Bray 0건). [확인 필요] 실측측 추출법 미확인.","memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
soil_k_04009,0.75,0.7,0.8,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
soil_ca_04009,5.5,5.0,6.0,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
soil_mg_04009,1.75,1.5,2.0,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
soil_ec_04009,1.0,0.0,2.0,dS/m,"토양:증류수 1:5 침출, EC meter(국내 표준, national-agri-environment-monitoring-2020.md). 입력은 data/ml/soil_ec_by_region.csv의 `ec_median`(시군구 필지 실측 중앙값) — 평균이 아니라 중앙값을 쓰는 이유는 분포가 오른쪽으로 심하게 치우쳐(중앙값 0.61 vs 평균 2.11, 최대 30.0) 시설 염류집적 필지 몇 곳이 노지 위주 지역을 통째로 감점시키기 때문이다. [확인 필요] 흙토람 elcd가 1:5 비환산인지 지도자료용 ×5 환산인지 미확인 — 국가보고서 실측(밭 1.03)과 우리 분포(중앙값 0.49)가 같은 자릿수라 비환산 1:5로 보이나 확정은 아니다. 척도가 ×5라면 이 밴드는 통째로 어긋난다.","memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
physical_slope_pct_04009,3.5,0.0,7.0,%,지역 대표 경사 등급코드(data/02_soil_physical_modified.csv slope_code)를 그 등급 구간의 상한 %로 환산한 값(_shared.json physical_code_maps). 등급 내 최악값을 대표로 쓰는 보수적 근사다 [확인 필요 — 등급 내 실제 분포는 데이터에 없다].,"memory/crop_rules/04009 (오이 물리성 밴드, 2026-08-03-v3)",crop:04009:오이:physical
temperature_07001_04.05.09.10,23.0,22.0,24.0,C,지역 월평균 대기기온의 봄·가을 작기월(4·5·9·10월) 산술평균. 원 문헌은 항온챔버 일평균기온(ADT)이라 대상 물리량은 일치하나 노지 일교차가 반영되지 않는다 [확인 필요].,"memory/crop_rules/07001 (상추 문헌 시드, 2026-08-03-v3)",crop:07001:상추:months=04.05.09.10
soil_ph_07001,6.75,6.5,7.0,-,"1:5 물(H2O) 침출, pH meter. 2026-08-03 확정 — 이 표의 정체가 RDA 「작물별 비료사용처방」 5차 개정본(2022) p169임이 확인됐고 그 화학성 표 헤더가 pH(1:5)이며 국내 표준(농촌진흥청 「토양 및 식물체 분석」 2007)과 일치한다. [확인 필요] 실측측(흙토람) 추출비 미확인.","memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
soil_organic_matter_07001,25.0,20.0,30.0,g/kg,"Tyurin법, 그늘 풍건 후 20 mesh 체 통과 시료. 국내 표준(national-agri-environment-monitoring-2020.md). [확인 필요] 실측측 정량법 미확인.","memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
soil_available_p_07001,325.0,250.0,400.0,mg/kg,"Lancaster법. 2026-08-03 확정 — 국내 표준(national-agri-environment-monitoring-2020.md). 종전 '추출법 미명시, 최대 6배 프로토콜 이슈 노출' 경고는 그 대조군이던 Bray-1 30~50 mg/kg 자체가 원문에 없는 창작값으로 확인돼(kfia-inorganic-fertilizer-guide-2022.md) 해소됐다. [확인 필요] 실측측 추출법 미확인.","memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
soil_k_07001,0.5,0.4,0.6,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
soil_ca_07001,6.5,6.0,7.0,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
soil_mg_07001,2.25,2.0,2.5,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
soil_ec_07001,1.0,0.0,2.0,dS/m,"토양:증류수 1:5 침출, EC meter(국내 표준). 입력은 data/ml/soil_ec_by_region.csv의 `ec_median`(시군구 필지 실측 중앙값) — 분포 왜곡 대응 근거는 cucumber.json ec 참조. [확인 필요] 흙토람 elcd의 환산 여부 미확인. 또한 상추 교본이 EC 기준을 셋(포장 2 dS/m 이하 / 연작관리 1.5 mS/cm 이하 / 육묘 상토 1.0~2.0 포화점토법) 제시하고 스스로 '분석 방법에 따라 적정 기준이 달라진다'고 인정한다 — 여기서는 포장 기준만 쓴다.","memory/crop_rules/07001 (상추 작물전용 밴드, 2026-08-03-v3)",crop:07001:상추:soil
physical_slope_pct_07001,3.5,0.0,7.0,%,지역 대표 경사 등급코드(data/02_soil_physical_modified.csv slope_code)를 그 등급 구간의 상한 %로 환산(_shared.json physical_code_maps). 등급 내 최악값 대표라는 보수적 근사 [확인 필요].,"memory/crop_rules/07001 (상추 물리성 밴드, 2026-08-03-v3)",crop:07001:상추:physical
temperature_09011_04-10,20.0,18.5,21.5,C,지역 월평균 대기기온의 4~10월 산술평균(data/03_weather_monthly_modified.csv). [확인 필요] 사과와 동일 — 원 출처의 기준기간·관측고도·공간해상도 미확인.,"memory/crop_rules/09011 (배 문헌 시드, 2026-08-03-v3)",crop:09011:배:months=04-10
soil_available_p_09011,250.0,200.0,300.0,mg/kg,unknown [확인 필요] — 교본이 추출법을 명시하지 않는다. RDA 비료사용처방 Bray-1(30~50)과 약 6배 갈리는 원인일 가능성이 높다.,"memory/crop_rules/09011 (배 작물전용 밴드, 2026-08-03-v3)",crop:09011:배:soil
soil_organic_matter_09011,30.0,25.0,35.0,g/kg,unknown [확인 필요] — 정량법 미명시. 단위 g/kg 확인.,"memory/crop_rules/09011 (배 작물전용 밴드, 2026-08-03-v3)",crop:09011:배:soil
soil_ph_09011,6.25,6.0,6.5,-,unknown [확인 필요] — 교본이 pH 추출비를 명시하지 않는다.,"memory/crop_rules/09011 (배 작물전용 밴드, 2026-08-03-v3)",crop:09011:배:soil
soil_k_09011,0.45,0.3,0.6,cmol/kg,unknown [확인 필요] — 교본이 치환성 양이온 침출액(1N NH4OAc 등)을 명시하지 않는다. 단위 cmol/kg만 확인.,"memory/crop_rules/09011 (배 작물전용 밴드, 2026-08-03-v3)",crop:09011:배:soil
soil_ca_09011,5.5,5.0,6.0,cmol/kg,unknown [확인 필요] — 교본이 치환성 양이온 침출액(1N NH4OAc 등)을 명시하지 않는다. 단위 cmol/kg만 확인.,"memory/crop_rules/09011 (배 작물전용 밴드, 2026-08-03-v3)",crop:09011:배:soil
soil_mg_09011,1.75,1.5,2.0,cmol/kg,unknown [확인 필요] — 교본이 치환성 양이온 침출액(1N NH4OAc 등)을 명시하지 않는다. 단위 cmol/kg만 확인.,"memory/crop_rules/09011 (배 작물전용 밴드, 2026-08-03-v3)",crop:09011:배:soil
physical_slope_pct_09011,3.5,0.0,7.0,%,지역 대표 경사 등급코드(data/02_soil_physical_modified.csv slope_code)를 그 등급 구간의 상한 %로 환산(_shared.json physical_code_maps). 등급 내 최악값 대표라는 보수적 근사 [확인 필요].,"memory/crop_rules/09011 (배 물리성 밴드, 2026-08-03-v3)",crop:09011:배:physical
temperature_03001_03-06,16.65,14.0,19.3,C,지역 월평균 대기기온의 3~6월 산술평균. 원 논문은 온도구배하우스 재배기간 일평균 기온이라 대상 물리량은 일치하나 시설/노지 차이가 있다 [확인 필요].,"memory/crop_rules/03001 (감자 문헌 시드, 2026-08-03-v3)",crop:03001:감자:months=03-06
soil_ph_03001,5.5,5.0,6.0,-,"1:5 물(H2O) 침출 가정. 교본이 측정법을 명시하지 않으나 국내 표준이 1:5 물 침출이다(national-agri-environment-monitoring-2020.md). [확인 필요] 교본 자체에는 표기 없음, 실측측(흙토람) 추출비도 미확인.","memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
soil_organic_matter_03001,38.5,30.0,47.0,g/kg,unknown [확인 필요] — P10(정진철 외 2003)이 유기물 정량법을 명시하지 않는다. 단위 g/kg만 확인됨.,"memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
soil_available_p_03001,300.0,250.0,350.0,mg/kg,Lancaster법. 국내 표준(national-agri-environment-monitoring-2020.md). [확인 필요] 실측측 추출법 미확인.,"memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
soil_k_03001,0.55,0.5,0.6,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
soil_ca_03001,5.0,4.5,5.5,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
soil_mg_03001,1.75,1.5,2.0,cmol/kg,1M NH4OAc 침출 후 AA·ICP. 국내 표준. [확인 필요] 실측측 미확인.,"memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
soil_ec_03001,1.0,0.0,2.0,dS/m,"토양:증류수 1:5 침출, EC meter(국내 표준). 입력은 data/ml/soil_ec_by_region.csv의 `ec_median`(시군구 필지 실측 중앙값) — 분포 왜곡 대응 근거는 cucumber.json ec 참조. [확인 필요] 흙토람 elcd의 환산 여부(1:5 비환산 vs 지도자료용 ×5) 미확인.","memory/crop_rules/03001 (감자 작물전용 밴드, 2026-08-03-v3)",crop:03001:감자:soil
physical_slope_pct_03001,3.5,0.0,7.0,%,지역 대표 경사 등급코드(data/02_soil_physical_modified.csv slope_code)를 그 등급 구간의 상한 %로 환산(_shared.json physical_code_maps). 등급 내 최악값 대표라는 보수적 근사 [확인 필요].,"memory/crop_rules/03001 (감자 물리성 밴드, 2026-08-03-v3)",crop:03001:감자:physical
physical_gravel_pct_03001,17.5,0.0,35.0,%,지역 대표 자갈 등급코드(subsoil_gravel_code)를 등급 구간 상한 %로 환산(_shared.json physical_code_maps). 최상위 등급 '자갈 35% 이상'은 상한이 열려 있어 물리적 최대인 100%로 둔다 — 등급 내 최악값 대표 규칙과 같은 처리다 [확인 필요].,"memory/crop_rules/03001 (감자 물리성 밴드, 2026-08-03-v3)",crop:03001:감자:physical
