no,Obsr_Spot_Code,Obsr_Spot_Nm,Do_Se_Code,Mgc_Code,Clmt_Zone_Code,Comm_Mthd_Code,Instl_La,Instl_Lo,Instl_Al,Instl_Adres,Obsr_Begin_Datetm
42,235270E001,태백 귀네미골,1,2,2,1,37.3355175172755,129.0052808706402,728.0,강원도 태백시 하사미동 524-87  귀네미골마을회관 앞,2011-03-10
43,232941E001,평창군 진부면,1,2,1,1,37.6700556861615,128.5943015068459,584.0,강원도 평창군 진부면 간평1리 774번지,2012-06-09
44,250845E001,홍천군 자운리,1,2,1,1,37.7175217709029,128.3802354376990,720.0,강원도 홍천군 내면 자운리 813-0,2011-03-28
45,240813A001,동해시 북평동,1,143,18,1,37.4852015839046,129.1188242164255,55.0,강원도 동해시 북평동 274-18,2012-05-10
46,245825A002,삼척시 미로면,1,28,18,1,37.4102683358592,129.1062461994681,26.0,강원도 삼척시 미로면 하거노리 435,2015-01-27
47,245832A001,삼척시 근덕면,1,28,18,1,37.3847700000000,129.2283700000000,19.0,강원도 삼척시 근덕면 교가리 412-6,2011-01-28
48,217060A001,속초시 대포동,1,29,17,1,38.1691946504317,128.5997099208545,68.0,강원도 속초시 대포동 159-13,2010-09-15
49,255840A001,양구군 만대리,1,147,1,1,38.2631528000000,128.2631528000000,501.0,강원도 양구군 해안면 만대리 2524,2012-06-18
50,255840A002,양구군 후리,1,147,1,1,38.2970080000000,128.1424620000000,457.0,강원도 양구군 해안면 후리 519,2013-05-22
51,215821A001,양양군 양양읍,1,160,17,1,38.0919958649232,128.6324377986959,23.0,강원도 양양군 양양읍 송암리 683-9,2013-11-29
52,230802A001,영월군 영월읍,1,30,3,1,37.1676363036401,128.4771644502047,220.0,강원도 영월군 영월읍 덕포리 955-2,2011-11-09
53,220844A001,원주시 흥업면,1,33,3,1,37.2950318712105,127.9170261066824,154.0,강원도 원주시 흥업면 흥업리 1576-12,2010-12-01
54,451873A001,평택시 오성면,0,22,13,1,37.0125779189737,126.9806510349930,31.0,경기도 평택시 오성면 청오로 33-58,2010-11-15
55,445891A001,화성시 장안면,0,24,13,1,37.0773094187771,126.8738018048756,42.0,경기도 화성시 장안면 풍무길80번길 53-20,2011-04-16
56,252805A001,인제군 인제읍,1,32,2,1,38.0965750861415,128.1841529363117,229.0,강원특별자치도 인제군 인제읍 덕산리 1008-1,2010-10-13
57,233852A001,정선군 정선읍,1,140,2,1,37.4233251577744,128.6539509072861,374.0,강원도 정선군 북평면 남평1리 1270-6,2012-04-24
58,233852A002,정선군 임계면,1,140,2,1,37.5047184690369,128.8763286550375,550.0,강원도 정선군 임계면 임계리 658-6,2014-10-07
59,269811A001,철원군 동송읍,1,35,6,1,38.2032400000000,127.2502600000000,205.0,강원도 철원군 동송읍 장흥3리,2010-12-16
60,200821A001,춘천시 신북읍,1,34,6,1,37.9340000414096,127.7537715728780,98.0,강원도 춘천시 신북읍 신북로 102,2010-09-28
61,235802A001,태백시 황지동,1,36,2,1,37.2063450830899,128.9857011944520,733.0,강원도 태백시 황지동 288-5,2010-12-04
62,232803A001,평창군 여만리,1,122,2,1,37.3771570073961,128.3940232310351,293.0,강원도 평창군 평창읍 여만길 46,2010-12-07
63,250802A001,홍천군 화동리,1,37,6,1,37.7056620468048,127.8594367308570,139.0,강원도 홍천군 북방면 화동리 481,2011-01-28
64,209802A001,화천군 화천읍,1,130,6,1,38.1101301425975,127.6944895475391,139.0,강원도 화천군 화천읍 상리 531 화천군농업기술센터 실습,2011-02-22
65,225874A001,횡성군 공근면,1,39,7,1,37.5275072970014,127.9606639292125,146.0,강원도 횡성군 공근면 학담2리 784-3,2011-05-25
66,027486F033,충주시 안림동,2,3,8,1,36.9686660000000,127.9722590000000,100.0,충북 충주시 안림동 37,2020-06-15
67,373805A001,옥천군 옥천읍,2,41,4,1,36.2999700454315,127.5965388033857,117.0,충청북도 옥천군 옥천읍 옥천동이로 234,2002-01-01
68,269804A001,음성군 소이면,2,43,8,1,36.9136667231297,127.7617580145978,100.0,충북 음성군 소이면 봉전리 777,2011-04-15
69,390874A001,제천시 봉양읍,2,44,3,1,37.1615680049508,128.1766830256354,320.0,충청북도 제천시 봉양읍 제천북로3길 20,2010-12-01
70,380959A001,충주시 달천동,2,48,8,1,36.9501504496532,127.8972865499529,76.0,충북 충주시 달천동 672-2,2010-08-19
71,321916A001,계룡시 두마면,3,136,4,1,36.2616917568172,127.2772604357715,148.0,충청남도 계룡시 두마면 사계로 177,2011-06-30
72,032528A001,공주시 우성면,3,50,13,1,36.4934052910514,127.0992424997308,46.0,충청남도 공주시 우성면 내산목천길 52-15,2015-12-13
73,026136A003,정선군 신동읍,1,140,2,1,37.2598799699101,128.5847705843219,261.0,강원도 정선군 신동읍 덕천리 산137,2015-10-19
74,312831A001,금산군 금성면,3,51,4,1,36.1258495124213,127.4940871391244,168.0,충남 금산군 금성면 의총길 90,2010-09-08
75,355831A001,보령시 주교면,3,53,13,1,36.3911574489337,126.5660111208969,49.0,충남 보령시 주포면 주교리 422-5,2011-04-27
76,330846A001,천안시 목천읍,3,58,8,1,36.7752704492332,127.2072183063640,112.0,충청남도 천안시 동남구 목천읍 목천안터1길 15,2013-11-19
77,031004A002,천안시 성환읍,3,58,13,1,36.9599390008045,127.1300607691358,9.9,충남 천안시 서북구 성환읍 안궁리 424,2016-11-28
78,345802A001,청양군 청양읍,3,59,13,1,36.4254569074213,126.7957000256768,192.0,충청남도 청양군 청양읍 적누리 264번지,2011-01-19
79,350808A001,홍성군 홍성읍,3,61,13,1,36.6026328729866,126.5792136290832,78.0,충청남도 홍성군 홍성읍 갈산면 동산리 843,2011-01-11
80,590834E001,남원시 운봉읍,4,1,9,1,35.4385122998086,127.5284342232906,471.0,전라북도 남원시 운봉읍 황산로 1067,2005-11-14
81,579824E001,부안군 계화면,4,1,14,1,35.7728137124119,126.6695858352487,7.0,전라북도 부안군 계화면 간재로 692,2000-07-31
82,323891D002,완주군 이서면,4,1,14,1,35.8288117054826,127.0455907953870,32.0,전라북도 전주시 완주군 이서면 국립농업과학원,2013-11-21
83,055640F028,장수군 개정리,4,3,4,1,35.6222192000000,127.5190849000000,535.5,전북 장수군 장수읍 개정리 238-66,2018-11-29
84,055365F016,완주군 반교리,4,3,14,1,35.8302900000000,127.0322770000000,67.0,전북 완주군 이서면 반교리 산 126,2017-11-24
85,054065A001,군산시 개정면,4,63,14,1,35.9613100000000,126.7798100000000,47.0,전북 군산시 개정면 운회길 32,2019-10-24
86,576040A001,김제시 부량면,4,64,14,1,35.7464476048752,126.8514645218314,24.0,전북 김제시 부량면 신용리 301-2 김제시농업기술센터 예찰포,2010-09-09
87,590823A001,남원시 이백면,4,65,9,1,35.4260700000000,127.4379400000000,152.0,전라북도 남원시 이백면 서곡리 627-7,2011-01-06
88,588802A001,무주군 무주읍,4,66,4,1,36.0039500000000,127.6719700000000,214.0,전북 무주군 한풍루로 416 무주군농업기술센터,2010-10-01
89,595870A001,순창군 구림면,4,67,9,1,35.4382172716685,127.0412064846703,269.0,전라북도 순창군 구림면 삭골길 56-1,2010-10-01
90,323814A001,부여군 규암면,3,54,14,1,36.2591519253658,126.8426299599541,24.0,충청남도 부여군 규암면 흥수로 488,2010-09-06
91,340861A001,예산군 신암면,3,57,13,1,36.7420955286788,126.8144526672071,29.0,충남 예산군 신암면 종경리 281-22,2010-09-02
92,357903A001,태안군 태안읍,3,60,13,1,36.7328542150789,126.3047794534231,31.0,충청남도 태안군 태안읍 송암로 523,2010-11-18
93,565862A001,완주군 고산면,4,68,4,1,35.9849417876042,127.2215200330368,78.0,전라북도 완주군 고산면 고산천로 720-45,2011-01-14
94,570802A001,익산시 함열읍,4,165,14,1,36.0412522230982,126.9590073246827,16.0,전북 익산시 익산대로 1366-20,2014-12-16
95,566822A001,임실군 신평면,4,137,4,1,35.6562000000000,127.2660100000000,225.0,전북 임실군 신평면 대리 1244-6,2011-06-21
96,597803A001,장수군 장수읍,4,69,4,1,35.6198102073102,127.5115466970836,478.0,전라북도 장수군 장수읍 와동길 55,2011-01-14
97,580813A001,정읍시 정우면,4,70,14,1,35.6217100000000,126.8951700000000,30.0,전라북도 정읍시 정우면 정우남로 282,2010-09-16
98,567801A002,진안군 진안읍,4,141,4,1,35.7603300000000,127.4374000000000,362.0,전라북도 진안군 진안읍 반월리 1409,2012-04-27
99,059223A001,강진군 군동면,5,179,15,1,34.6438126000000,126.7900304000000,8.7,전라남도 강진군 군동면 진흥로 85,2017-03-29
100,548912A001,고흥군 풍양면,5,75,15,1,34.5664897936253,127.2581180596731,52.0,전라남도 고흥군 풍양면 율치리 1504-9,2011-05-16
101,516821A001,곡성군 오곡면,5,131,9,1,35.2736472853422,127.3034442342975,71.0,전남 곡성군 오곡면 승법리 180-7,2011-05-16
102,542805A001,구례군 구례읍,5,74,10,1,35.1972900000000,127.4609100000000,38.0,전라남도 구례군 구례읍 동산1길 32,2016-05-04
103,534833E001,무안군 청계면,5,2,15,1,34.9684964708572,126.4560881309745,30.0,전라남도 무안군 청계면 청천리 293-2(무안로 199),2010-12-17
104,520821F001,나주시 금천면,5,3,10,1,35.0237139597746,126.7474754716671,13.0,전남 나주시 금천면 벽류길 121 나주배연구소,2014-12-23
105,520892A001,나주시 공산면,5,162,15,1,34.9437918896197,126.6064415954619,4.4,전라남도 나주시 공산면 남창리 462-9,2013-12-25
106,520943A002,나주시 문평면,5,162,10,1,35.0400424299005,126.6013693692160,7.5,전라남도 나주시 문평면 산호리 1407-1,2013-12-25
107,534844A001,무안군 현경면,5,77,15,1,35.0285526863229,126.4456763900397,67.0,전라남도 무안군 현경면 현화리 96-21,2013-01-25
108,540814A001,순천시 주암면,5,163,10,1,35.0575891067294,127.2825015085774,20.0,전라남도 순천시 주암면 창촌리 50-1,2014-06-13
109,535812A001,신안군 압해읍,5,133,15,1,34.8594384163165,126.2989816556064,23.0,전라남도 신안군 압해읍 동서리 520(압해로 1042),2011-09-30
110,555130A001,여수시 주삼동,5,79,15,1,34.7875346006173,127.6543419279124,26.0,전라남도 여수시 주동1길 32  (주삼동),2011-06-23
111,513842A001,영광군 군서면,5,80,15,1,35.2822734948080,126.4679634073523,20.0,전라남도 영광군 군서면 만곡리 184-1,2010-10-06
112,526821A001,영암군 덕진면,5,81,15,1,34.8252837055903,126.6731199743381,28.0,전남 영암군 덕진면 장선리 676-1(금호길 11),2010-09-23
113,515804A001,장성군 장성읍,5,82,10,1,35.3185035037958,126.7959529939331,61.0,전라남도 장성군 장성읍 단풍로 220,2015-08-21
114,529805A001,장흥군 장흥읍,5,83,15,1,34.6706148035442,126.9100228987287,40.0,전남 장흥군 장흥읍 건산리 236-6,2011-07-27
115,536824B002,해남군 옥천면,5,72,15,1,34.5816426291052,126.6502991396594,28.0,전라남도 해남군 옥천면 용정리길 20,2013-05-23
116,535873B003,나주시 산포면,5,72,10,1,35.0252500000000,126.8240200000000,26.0,전라남도 나주시 산포면 산제리 326-1,2013-06-18
117,546804B001,보성군 보성읍,5,72,10,1,34.7818844940397,127.0956287321026,145.0,전라남도 보성군 보성읍 송재로 354 (녹차연구소),2011-02-10
118,537807B004,완도군 완도읍,5,72,15,1,34.3719479192817,126.7282121923515,8.3,전라남도 완도읍 청해진로 1251길 48-20,2014-12-18
119,539823A001,진도군 군내면,5,84,15,1,34.5114603981262,126.2977255841722,41.0,전라남도 진도군 군내면 송산리 747-1 (가흥로 697),2010-09-23
120,525811A001,함평군 학교면,5,85,15,1,35.0521737949588,126.5417295723882,12.0,전라남도 함평군 학교면 학교화산길 90,2010-09-15
121,536806A001,해남군 삼산면,5,86,15,1,34.5283546350880,126.5596288352252,-1.0,전남 해남군 삼산면 봉학리 99-48 (해남읍 땅끝대로 106),2013-05-23
122,519822A001,화순군 한천면,5,132,10,1,34.9735056892209,127.0706517749758,139.0,전라남도 화순군 한천면 동가리 29-1,2011-05-18
123,712851A001,경산시 자인면,6,144,11,1,35.8170993371450,128.8113796325793,62.0,경상북도 경산시 자인면 계정길 7,2001-05-01
124,041404B001,대구시 북구,11,87,11,1,35.9548440536966,128.5619291255131,61.0,대구시 북구 동호동 189,2007-03-30
125,780950A001,경주시 용강상리,6,88,19,1,35.8671720750071,129.2252734048129,110.0,경상북도 경주시 용강상리길 70  (용강동),2004-11-01
126,730802A001,구미시 선산읍,6,89,11,1,36.2315663544958,128.2881241521951,32.0,경북 구미시 선산읍 이문리 862,2010-09-13
127,039102B003,구미시 옥성면,6,171,11,1,36.3281356072906,128.2767215611769,40.0,구미시 옥성면 옥관리 59-4,2007-03-30
128,766851E001,영덕군 병곡면,6,2,18,1,36.5683166172364,129.3959597919179,17.0,경북 영덕군 병곡면 원황1리 767 영덕출장소,2007-04-01
129,741862E001,상주시 화서면,6,2,4,1,36.4399222572137,127.9444678497915,294.0,경상북도 상주시 화서면 중화로 2161,2010-12-17
130,037136F022,상주시 외서면,6,3,11,1,36.4942730000000,128.1759890000000,81.0,경북 상주시 외서면 북상주로 773,2017-11-24
131,036043F024,영주시 봉현면,6,3,11,1,36.8654786000000,128.4941633000000,283.4,경북 영주시 봉현면 두산리 534-2,2018-11-20
132,039000F026,군위군 소보면,6,3,11,1,36.2787210000000,128.4662430000000,85.0,경북 군위군 소보면 위성리 251-4,2018-11-22
133,037322D007,의성군 옥산면,6,1,11,1,36.4157722000000,128.7988895000000,182.7,경상북도 의성군 점곡면 동변리 825-4,2017-11-09
134,038316F030,청도군 구라리,6,3,12,1,35.6473891000000,128.6509263000000,100.3,경북 청도군 이서면 구라리 553,2018-11-27
135,037448F025,청송군 부남면,6,3,5,1,36.3017054000000,129.1185167000000,314.9,경북 청송군 부남면 양숙리 609(부남로 798-99),2018-11-21
136,716823A001,군위군 효령면,6,90,11,1,36.1808154407492,128.5921212687496,115.0,경상북도 군위군 효령면 호우로 97(성리 111),2008-12-01
137,755851A001,봉화군 석포면,6,92,2,1,37.0522054768904,129.0031158072578,586.0,경상북도 봉화군 석포면 대현리 149-25,2010-10-05
138,755851A002,봉화군 봉성면,6,92,5,1,36.9012320244220,128.7732152498497,266.0,경북 봉화군 봉성면 금봉리 779,2006-06-01
139,036229B007,봉화군 외삼리,6,175,5,1,36.8985831487701,128.8085186515910,300.0,봉화군 봉성면 외삼리 92-1,2007-03-30
140,037268B004,상주시 공성면,6,172,11,1,36.2822664404185,128.0739053813110,100.0,상주시 공성면 장동리 69,2007-03-20
141,742801A005,상주시 함창읍,6,93,11,1,36.5783000000000,128.1634300000000,98.0,경상북도 상주시 함창읍 교촌리 413,2024-11-28
142,742290A001,상주시 초산동,6,93,11,1,36.4537088323950,128.1671278757737,66.0,경상북도 상주시 발산로 71  (초산동),2010-09-13
143,037127A003,상주시 사벌국면,6,93,11,1,36.4734300000000,128.2246000000000,84.0,경상북도 상주시 사벌국면 엄암리 906,2024-11-28
144,742912A002,상주시 모동면,6,93,11,1,36.3026900000000,127.9651200000000,240.0,경상북도 상주시 모동면 이동리 657,2024-11-28
145,742871A004,상주시 화북면,6,93,11,1,36.5425500000000,127.9173400000000,325.0,경상북도 상주시 화북면 상오리 655,2024-11-28
146,036614B005,안동시 북후면,6,173,5,1,36.6640198018783,128.7010387450229,134.0,안동시 북후면 도촌리 30-1,2007-03-30
147,719862A001,성주군 대가면,6,94,11,1,35.9147744147148,128.2526497144026,60.0,경상북도 성주군 대가면 참별로 2479,2011-04-21
148,040054B002,성주군 대천리,6,170,9,1,35.8796905613321,128.1781519010874,122.0,성주군 대가면 대천리 635,2007-03-22
149,760380A001,안동시 송천동,6,95,11,1,36.5382409723700,128.8050587700625,78.0,경상북도 안동시 경동로 1484-10  (송천동),2011-01-20
150,036531B008,영양군 대천리,6,176,5,1,36.6544230883840,129.1486441277862,227.0,경상북도 영양군 영양읍 대천리 579-3,2007-03-30
151,764803A001,영양군 영양읍,6,97,5,1,36.6560829129162,129.1464063395407,248.0,경상북도 영양군 영양읍 영양창수로 323,2011-08-10
152,750873A002,영주시 안풍리,6,98,11,1,36.8596202408461,128.5583861817408,206.0,경상북도 영주시 안정면 안풍로 98,2008-08-08
153,750852A006,영주시 평은면,6,98,11,1,36.7644206410462,128.7016740175608,220.0,경상북도 영주시 평은면 평은리 972-18,2008-08-01
154,750823A005,영주시 부석면,6,98,5,1,37.0026832168450,128.6530162737740,386.0,경상북도 영주시 부석면 임곡리 593,2008-08-01
155,750804A003,영주시 풍기읍,6,98,11,1,36.8846058292933,128.5062917205448,273.0,경상북도 영주시 풍기읍 백리길151번길 21,2008-08-01
156,750873A001,영주시 안정로,6,98,11,1,36.8464509055641,128.5609214660539,173.0,경상북도 영주시 안정면 안정로 30,2011-01-10
157,770270A001,영천시 오미동,6,152,11,1,35.9907733274892,128.9253020601802,110.0,경상북도 영천시 천문로 622-13  (오미동),2012-12-02
158,757802A001,예천군 예천읍,6,99,11,1,36.6770843914283,128.4628707922465,101.0,경상북도 예천군 예천읍 도효자로 87-56,2010-09-10
159,767862A001,울진군 매화면,6,100,18,1,36.9172190317020,129.3794322503960,27.0,경북 울진군 매화면 매화매실길 76,2012-04-26
160,769912A001,의성군 봉양면,6,164,11,1,36.3222936866664,128.6464611632959,90.0,경북 의성군 봉양면 경북대로 5225,2014-09-02
161,038303A002,청도군 각북면,6,101,12,1,35.6693081419922,128.5976590084128,126.0,경북 청도군 각북면 삼평리 438,2016-06-21
162,714902A001,청도군 화양읍,6,101,12,1,35.6496900952946,128.7343190305611,89.0,경상북도 청도군 청화3길 10,2005-05-11
163,038315B010,청도군 이서면,6,178,12,1,35.6478687676237,128.6485059812189,93.0,청도군 이서면 구라리 787,2007-03-29
164,763803A001,청송군 청송읍,6,102,5,1,36.3906032854094,129.0784979962401,217.0,경상북도 청송군 청송읍 주왕산로 177,2010-11-05
165,718814A001,칠곡군 약목면,6,103,11,1,36.0397605184719,128.3812841977048,47.0,경상북도 칠곡군 약목면 동덕로 146,2011-01-05
166,037947A004,포항시 장기면,6,104,19,1,35.8959100000000,129.4522200000000,64.0,경북 포항시 남구 장기면 산서리 758-8,2024-10-17
167,037524A002,포항시 기북면,6,104,19,1,36.1531610000000,129.1826970000000,170.0,경북 포항시 북구 기북면 탑정리 721-15,2023-12-14
168,791945A001,포항시 북구,6,104,19,1,36.1130635439219,129.3063424219077,45.0,경상북도 포항시 북구 흥해읍 신흥로 572,2010-11-17
169,036052B006,영주시 용산리,6,174,11,1,36.8088283549012,128.5403367220617,189.0,영주시 안정면 용산리 657,2007-03-30
170,660985B001,진주시 초전동,7,138,16,1,35.2053856897418,128.1169794784073,23.0,경남 진주시 초전동 469,2011-09-08
171,050415C005,밀양시 산내면,7,1,12,1,35.5944680000000,128.9546810000000,258.0,경상남도 밀양시 산내면 삼양리 1931,2017-04-19
172,050124D004,거창군 동변리,7,1,9,1,35.7205176971129,127.9014232455621,288.4,경상남도 거창군 거창읍 죽동길 138 경상남도농업기술원 사과이용연구소 내,2016-06-03
173,668812F002,남해군 이동면,7,3,16,1,34.8161120428953,127.9255976086426,46.0,경남 남해군 이동면 남해대로 2421,2013-08-20
174,050115F027,거창군 주상면,7,3,9,1,35.7592982000000,127.9455303000000,320.2,경남 거창군 주상면 남산리 210-1,2018-11-28
175,052546F018,사천시 송포동,7,3,16,1,34.9652000000000,128.0510110000000,76.0,경남 사천시 해안관광로 458-19,2017-11-24
176,621100A001,김해시 전하동,7,108,16,1,35.2143150913266,128.8696206093711,5.0,경상남도 김해시 전하로198번길 102  (전하동),2010-12-21
177,037506A003,포항시 죽장면,6,104,19,1,36.1680236000000,129.0284581000000,498.0,경북 포항시 북구 죽장면 두마리 476,2023-12-14
178,638802A001,고성군 고성읍,7,125,16,1,34.9905398126091,128.3309062447455,20.0,경상남도 고성군 고성읍 죽계리 435-230,2011-01-19
179,670807A001,거창군 거창읍,7,153,9,1,35.6731867538425,127.9213169007810,194.0,경남 거창군 거창읍 거함대로 3372-60,2012-12-02
180,627911A001,밀양시 상남면,7,110,12,1,35.4480203062168,128.7579495394915,7.0,경상남도 밀양시 상남면 상남로 1008-19,2010-09-06
181,664951A001,사천시 용현면,7,148,16,1,35.0369855385664,128.0676691533627,188.0,경남 사천시 용현면 신복리 500번지,2012-07-04
182,635821A001,창녕군 대지면,7,114,12,1,35.5513904564490,128.4766829504957,36.0,경상남도 창녕군 대지면 우포2로 1085,2014-06-10
183,051394A001,창원시 대산면,7,115,12,1,35.3425940439424,128.7077983702519,5.0,경남 창원시 의창구 대산면 가술리 31-2,2009-05-01
184,667831A001,하동군 적량면,7,169,9,1,35.0794329178606,127.7696793565510,35.0,경남 하동군 적량면 동산리 1830-2,2011-06-15
185,052304A001,하동군 화개면,7,169,10,1,35.1625000000000,127.6493000000000,,경남 하동군 화개면 섬진강대로 3665 (하동녹차연구소),2021-12-21
186,678806A001,합천군 용주면,7,145,9,1,35.5512803414187,128.1123943837536,49.0,경남 합천군 용주면 고품리 910-292,2011-10-01
187,063527F012,서귀포 덕수리,8,3,20,1,33.2546890000000,126.3005970000000,67.0,제주특별자치도 서귀포시 안덕면 덕수리 2579-1,2016-09-28
188,063048F003,제주시 신엄리,8,3,20,1,33.4588890000000,126.3690890000000,105.0,제주특별자치도 제주시 애월읍 신엄리 1818-1,2016-09-30
189,063190F010,제주시 금악리,8,3,20,1,33.3594716000000,126.2926173000000,18.0,제주특별자치도 제주시 한림읍 금악리 2159-2,2016-09-30
190,063240F009,제주시 오등동,8,3,20,1,33.4658830000000,126.5391280000000,208.0,제주특별자치도 제주시 오등동 125,2016-10-01
